名前,年齢,性別,居住地,住居情報,職業・役職,会社規模,年収,学歴,家族構成,価値観・人生観,ライフスタイル,趣味・嗜好,目標・理想,購買行動,情報収集方法,使用デバイス,SNS利用状況,日課・タイムスケジュール,悩み,解決したいこと,好きなブランドや商品,よく見る映画・動画チャンネル,人間関係,最近の出来事やエピソード
山田 美智子,57,女性,東京都世田谷区,持ち家（3LDK）,大学教授（文学部・日本文学専攻）,非該当（公立大学）,年収約900万円,東京大学文学部卒業、修士課程修了,夫（会社員）、長男（大学生）、長女（就職中）,家族との時間を大切にし、教育や文化の普及に貢献することを価値観としている。,早起きで規則正しい生活。週2回はジムに通い、健康維持に努めている。,読書（特に古典文学）、旅行（歴史的名所巡り）、料理,大学での教育・研究活動を通じて、若者たちの成長をサポートすること。退職後は地域の文化活動にも力を入れたい。,質重視で、長く使えるものを選ぶ傾向がある。オンラインショッピングも利用するが、実店舗での体験も大切にしている。,新聞（朝日新聞）、専門書籍、学術誌、SNSを通じた同僚や学生からの情報,スマートフォン（iPhone 13 Pro Max）、タブレット（iPad Air）、ノートPC（MacBook Pro）,FacebookとTwitterを利用。主に教育や文化関連の情報をシェアする。,6:00 起床、7:00 朝食、8:00 大学へ出勤、12:30 昼休憩、15:00 授業終了後、研究室での執筆や学生との面談、18:00 退社、19:00 家族との夕食、21:00 読書や趣味の時間、23:00 就寝,若者の教育や就職問題、高齢化社会での教育制度の改革。家族の健康と自宅のメンテナンスも気にしている。,若者たちがより良い未来を築けるように支援したい。家族との時間をもっと充実させたい。,無印良品、资生堂（Shiseido）、パナソニック,NHK BSプレミアムの文芸番組、Netflixでのドキュメンタリー作品,大学の同僚や学生との関係を大切にしている。地域の文化団体にも所属しており、活動を通じて多くの人々と交流がある。,先日、長男が大学の卒業論文で優秀賞を受賞した。また、最近は大学でのオンライン授業の導入に取り組んでいる。
佐藤 正男,65,男性,東京都品川区,3LDKのマンション（所有）,大学教授（定年退職後、非常勤講師として継続）,100人以上の大規模大学,約800万円/年,東京大学工学部卒業、修士課程修了,妻（62歳）、長女（34歳、結婚済）、次女（32歳、未婚）,教育と研究を通じて社会に貢献すること。家族との時間も大切にする。,早起きが得意で、朝は散歩や軽いジョギングをする。午後は大学での講義や研究活動に充てる。週末は家族と一緒に過ごすことが多い。,読書（特に科学技術系）、ガーデニング、写真撮影,現役時代の研究成果を継続的に発表し、後進の育成に努める。定年後の生活も充実させること。,品質と耐久性を重視する。インターネットでの購入が多いが、実店舗でも商品選びをする。,専門誌、大学からの情報、新聞、ウェブサイト,スマートフォン（iPhone）、タブレット（iPad）、ノートパソコン（MacBook）,Facebook（友人とのコミュニケーション用）、LinkedIn（仕事関連のネットワーク用）,6:00 起床、7:00 散歩、8:00 朝食、9:00 出勤、13:00 昼食、15:00 研究・執筆、18:00 下校、19:00 晩御飯、20:00 読書や趣味、22:00 就寝,高齢化に伴う健康問題。定年後の生活費の確保。,健康的な生活を続けるためのサポート。孫との関わり方についてのアドバイス。,Apple、無印良品、NIKE,NHKニュース、NHK教育テレビ、Netflix（ドキュメンタリー系）,同僚や学生との関係が良好。家族とは非常に仲が良い。,先月、孫の誕生日に初めて会い、とても喜ばれた。来週は大学で講演会がある。
中村 桃子,65,女性,東京都世田谷区,持ち家（3LDK）,元小学校教諭、現在は非常勤講師,教育委員会（公務員）,年収：400万円程度（退職後は年金＋講師の報酬）,東京都立大学教育学部卒業,夫（67歳、定年退職）、長女（35歳、会社員）、次女（32歳、専業主婦）,家族の絆と健康を大切にし、地域貢献にも積極的。教育を通じて社会に貢献したいという思いが強い。,朝は早起きして軽いジョギングをする。週2回は習字やフラワーアレンジメントの教室に通っている。平日は夫と近所のスーパーマーケットで買い物を楽しむ。,読書、旅行、手芸,孫の成長を見守りながら、自分の趣味も充実させたい。また、地域の子供たちに教育の機会を提供したい。,質重視で長持ちする商品を選ぶ。インターネットでのショッピングは苦手だが、信頼できる店舗での購入が好き。,地元の新聞やテレビニュース。また、近所の人々との会話から情報を得ることが多い。,スマートフォン（基本的な操作のみ）、タブレット（孫のために使用）,Facebook（主に家族との連絡用）,6:00 起床 → 7:00 朝食（夫と）→ 8:00 ヨガや軽い運動 → 10:00 読書や手芸 → 12:00 昼食（夫と）→ 14:00 習字教室や地域のボランティア活動 → 17:00 夕方の散歩 → 19:00 晩ごはん（夫と）→ 21:00 就寝,孫の教育環境や健康、夫の介護問題。また、自分の健康管理も気になっている。,孫とのコミュニケーションをもっと取りたい。地域の子供たちに読み聞かせなどを行いたい。健康的な生活を続けるための情報を求めている。,無印良品、リラクゼーション用品ブランド,NHK BSプレミアムのドキュメンタリー番組、文藝春秋などの雑誌,近所の人々との関係が良く、地域のイベントにも積極的に参加している。娘や孫とも仲が良い。,先日、孫の学校の運動会に参加し、孫の活躍を見ることができた。また、地域のボランティア活動で小学校での読み聞かせを始めたところ、子供たちから好評を得ている。
山田健太郎,75,男性,東京都世田谷区,戸建て（3LDK）,元大学教授、現在は非常勤講師,中規模（非常勤として勤務する大学）,年収約500万円（退職金含む）,東京大学理学部卒業,妻と同居、3人の子供と4人の孫がいる,家族との時間の大切さを重視し、教育に情熱を注ぐ。社会貢献の価値観も強い。,朝は早起きして散歩を習慣にしており、昼間は読書や研究活動をする。週に2日は大学で講義を行っている。,旅行、写真撮影、クラシック音楽鑑賞,孫たちの成長を見守ることと、教育に関する論文を出版すること,高品質で信頼性のある製品を好む。長期的な視点で価値があるものを選ぶ。,新聞（朝日新聞）、専門書籍、学術雑誌,スマートフォン（iPhone）、タブレット（iPad）,Facebookを週に2〜3回程度利用。主に家族とのコミュニケーションや友人との情報交換に使用している。,6:00 起床、7:00 散歩、8:00 朝食、9:00 研究・読書、12:00 昼食、13:00 レッスン準備、15:00 大学へ出勤（非常勤の場合）、17:00 帰宅、18:00 散歩、19:00 夕食、20:00 休憩・テレビ視聴、22:00 就寝,健康維持と認知症の予防。孫たちとの関係性の深め方。,健康的な生活を続けるための方法やツール、家族とのコミュニケーションをより深める方法,Apple製品、高級食料品（伊藤園、明治）、書籍出版社（岩波書店）,映画「シンドラーのリスト」、Netflixでのドキュメンタリー番組、NHKラジオ講座,家族との関係が最も大切。友人や同僚との交流も積極的に行っている。,孫の入学式に出席し、孫の成長を感じた。先日、研究室で若い研究者たちと議論を交わした。
田中和子,75,女性,東京都世田谷区,4LDKの戸建て住宅（2階建て）,元小学校教諭（現在は退職）,無所属,年金収入（約200万円/年）,東京学芸大学 教育学部卒業,夫（田中一郎、78歳）、息子（田中健太、45歳）、娘（田中美咲、43歳）、孫2人（長男の息子10歳、娘の娘8歳）,家族との時間、健康維持、地域社会への貢献,朝は早起きして散歩、昼間は趣味や家事を楽しむ、週3回は孫の送り迎えを手伝う、月に1回は友人との食事会に参加する,ガーデニング、水彩画、読書（特に小説や旅行ガイド）,孫の成長を見守ること、健康的な高齢生活を送ること、地域のボランティア活動に積極的に参加すること,必要最小限の買い物、地元の商店やスーパーマーケットを利用する、インターネットショッピングも利用するが慎重,新聞（朝日新聞）、テレビニュース、孫から教えてもらうSNS情報,スマートフォン（iPhone）、タブレット（iPad）,Facebook（家族との連絡用）、YouTube（趣味の動画視聴）,6:30 起床、7:00 散歩、8:00 朝食、9:00 趣味の時間、12:00 昼食、14:00 家事や孫の送り迎え、18:00 夕食準備、20:00 テレビ視聴、22:00 就寝,体調管理（高血圧）、孫の教育、地域の安全,健康的な生活のために適切な運動と栄養バランスの取れた食事、家族との関係をより良く保つ方法、地元でのボランティア活動の機会,花王（洗剤）、サントリー（烏龍茶）、资生堂（化粧品）,NHKドラマ、旅行チャンネル（旅番組）,夫との長年のパートナーシップ、子供たちとの良好な関係、近所の友人や地域のコミュニティとの交流,孫の学校行事に参加し、孫がクラスで表彰されたこと、地元の公民館での講座に参加して新しい趣味を始める予定
田中隆一,83,男性,東京都目黒区,分譲マンション（2LDK）,元大学教授（現 荣養学研究所顧問）,50名以下の中堅研究機関,年収約600万円（非常勤講師やコンサルティングによる）,東京大学理学部卒業、博士（農学）,妻（82歳）、長男（57歳）、次女（54歳）、孫3人,知識の追求と社会貢献。健康で自立した生活を大切にしている。,朝は散歩から始まり、昼間は研究や執筆、夕方以降は家族との時間を過ごす。,庭いじり、料理、読書（科学・哲学）、映画鑑賞,健康維持と孫たちへの知識の継承。新しい分野での研究成果の発表を目指している。,品質重視で、長く使えるものを選ぶ。健康食品やサプリメントにも興味がある。,書籍、科学雑誌、インターネット（専門サイト）、テレビドキュメンタリー,スマートフォン（iPhone）、タブレット（iPad）、電子書籍リーダー（Kindle）,Facebookで家族や同僚との交流。研究コミュニティのオンライングループにも参加している。,7:00 起床 → 8:00 散歩 → 9:00 研究・執筆 → 12:00 昼食（自炊）→ 14:00 家族との電話やメールのやり取り → 16:00 庭いじり → 18:00 晩ご飯（家族と）→ 20:00 読書・映画鑑賞 → 22:00 就寝,加齢による健康の変化、家族の安全と幸せ、研究分野での後進の育成,健康的な食事や運動方法に関する情報、孫たちとのつながりを深める方法、新しい研究テーマの探索,無印良品、ソニー、Apple,NHK Eテレ（科学番組）、Netflix（ドキュメンタリー）,家族とは非常に親密。同僚や旧友との関係も大切にしている。,孫の一人が大学に合格し、お祝いをした。また、新しい研究プロジェクトへの参加を打診された。
田中花子,83,女性,東京都目黒区,高層マンションの1LDK（35平米）,元小学校教師,なし（定年退職後は地域の子供会でボランティア活動）,年金受給者（月額20万円程度）,東京都立大学教育学部卒業,未婚、兄弟1人（弟・65歳、大阪在住）,家庭と地域社会のつながりを大切にし、次世代への教育や支援に関心がある。,朝は散歩、午後は読書や趣味の絵画、週1回は近所の公民館でパソコン教室に通う。,絵画、園芸、旅行（海外は無理だが国内旅行を楽しむ）,健康を保ちつつ、地域社会の一員として活躍し続けること。孫世代にも教育的な影響を与えられる存在でありたい。,節約型で、必要最低限のものを選んで買う。特に健康的な食品や本に投資する傾向がある。,新聞（朝日新聞）、テレビニュース、地域の情報誌,スマートフォン（Android）、タブレット（iPad）,Facebookを使用し、近所の人々とのつながりを維持している。Instagramでは絵画や旅行の写真を投稿する。,6:00 起床 → 7:00 散歩 → 8:00 朝食 → 9:00 毎日新聞を読む → 10:00 絵画制作 → 12:00 昼食 → 14:00 園芸や本を読む → 17:00 夕食の準備 → 18:00 テレビを見る → 21:00 就寝,高齢化による身体的な衰え、一人暮らしでの孤独感、地域社会での役割を果たし続けることが難しくなること。,健康的な食事や運動に関する情報、地域とのつながりを深める機会、趣味のための新しいアイデアや道具,日清食品、サンキョウエイジ、ヨドバシカメラ,NHK BSプレミアム、映画（邦画）、YouTube（教育番組や園芸チャンネル）,近所の人々との関係がよく、公民館での活動を通じて多くの友人を作っている。弟とは月1回の頻度で電話やメールで連絡を取り合っている。,先週、公民館で行ったパソコン教室で若者たちと交流し、SNSの使い方を教えてもらった。また、来月には孫が訪ねてくる予定で楽しみにしている。
佐藤健一,94,男性,東京都世田谷区,自宅（3階建ての木造住宅）,元大学教授（現役引退後、非常勤講師として活動）,大学,年収約400万円（非常勤講師料と年金の組み合わせ）,東京大学文学部哲学科卒業、博士号取得,妻との2人暮らし。長男・次男は独立してそれぞれ家庭を持ち、孫が3人いる。,家族と地域社会のつながりを重視。教育を通じて若者の成長支援に力を入れている。,朝5時半起床。散歩や読書、趣味の園芸を行っている。週2回大学で講義を行う。,園芸、読書（哲学書や歴史書）、将棋、地元の地域活動への参加,孫たちに良い影響を与え、地域社会での役割を果たすことを目指している。,節約型。必要なものだけを購入する。健康食品や本は頻繁に購入する。,新聞（朝日新聞）、テレビニュース、書籍、インターネット,スマートフォン（iPhone）、タブレット（iPad）,LINEを使用して家族とのコミュニケーションを行っている。Facebookも利用しているが、主に地域のイベント情報を得るため。,5:30 起床 → 6:00 散歩 → 7:00 朝食 → 8:00 読書・メールチェック → 10:00 園芸 → 12:00 昼食 → 14:00 講義準備や趣味の活動 → 19:00 夕食 → 21:00 ニュース視聴 → 23:00 就寝,高齢による体調管理。孫たちが正しく成長することへの不安。,健康的な生活を維持し、地域社会での役割を果たしたい。家族との関係性をより深めたい。,無印良品、三省堂書店,NHK BSプレミアムの歴史番組、YouTubeでの将棋講座,近所の友人たちとの付き合いが深い。地元の公民館で地域活動に参加している。,先日、孫たちと旅行に行き、楽しい時間を過ごした。最近では、地域の公民館で若者向けの講座を開催し、好評を得た。
中村 麻子,94,女性,東京都目黒区,高齢者向け住宅（1K）,元小学校教諭,無所属（定年退職）,年金生活（約200万円/年）,東京学芸大学卒業,未婚、兄1人と妹2人（兄は故人、妹たちは既婚）,教育の重要性を重視し、地域社会への貢献を大切にしている。,健康的な生活を心がけている。毎日散歩をし、地元の公民館でボランティア活動を行っている。,読書（特に教育に関する本）、花見、孫たちと過ごす時間,孫たちに教育の価値観を伝え、地域社会の一員として活躍し続けること。,必要なものだけを購入する。主に地元の商店街で買い物をする。,新聞（朝日新聞）、テレビニュース、公民館での情報交換,スマートフォン（孫からもらったものを基本操作ができるレベル）,LINE（孫との連絡用）,6:00 起床 → 7:00 散歩 → 8:00 朝食 → 10:00 書籍の読み書き → 12:00 昼食 → 13:00 息子家族とのSkype通話（週1回）→ 15:00 花見や公民館活動 → 18:00 夕食 → 20:00 寝る,年齢を重ねるにつれて体調が悪化すること、一人ぼっちになることへの不安,健康的な生活の維持と地域社会とのつながりを深めたい。孫たちに教育の価値観を伝えたい。,無印良品（シンプルで機能的な商品を好む）,NHK BSプレミアム、地元の文化番組,兄の遺族と定期的に交流。地元の公民館での友人や近所の人々との関係が良好。,先月、孫の卒業式に出席した。来月は地域の春祭りでボランティア活動を行う予定である。
山田 知寿夫,105,男性,神奈川県横浜市,高齢者向けアパート（エレベーター付き）,元大学教授・現在は執筆活動と講演会のスピーカー,個人事業主,年収約500万円（執筆・講演料等）,東京大学理学部卒業、博士号取得,妻と二人暮らし。息子が3人おり、孫が6人いる。,知識の共有、教育の重要性、家族との絆を重視,朝は散歩と瞑想から始める。昼はカフェで本を読むか友人と会う。夕方は執筆やメールの返信などをする。,読書（特に科学関連）、園芸、孫たちとの時間,生涯学習の推進と若者への知識伝承,質重視、環境に配慮した製品を好む,新聞、専門誌、オンラインニュースサイト,タブレット、スマートフォン、電子書籍リーダー,Facebookで友人や同僚と交流。Instagramで孫の写真を見たり共有したりする。,7:00 起床 → 8:00 散歩 → 9:00 瞑想 → 10:00 ニュースチェック → 12:00 昼食（カフェか自宅）→ 14:00 書斎で執筆やメール対応 → 18:00 散歩 → 20:00 夕食 → 21:00 TV視聴や家族と過ごす時間 → 23:00 就寝,認知症のリスク、健康維持、孫たちの教育問題,認知機能の維持・向上、高齢者向けの便利なデバイスやサービスの提供、家族とのつながりを強化したい,ソニー（電子機器）、ルイ・ヴィトン（バッグ）,NHKドキュメンタリー、YouTubeの科学チャンネル,近所の人々や旧友との交流が活発。孫たちとは週1回会う約束をしている。,先月、地元の中学校で講演を行い、生徒たちに感銘を与えた。今月末には孫の誕生日を祝う予定。
佐藤千春,103,女性,東京都世田谷区,4LDKの戸建て住宅、庭付き,日本文学研究者・作家,個人事業主（独立）,年収約500万円（著作権料や講演料など）,東京大学文学部日本文学科卒業、博士号取得,夫（89歳）、長男（72歳）、長女（68歳）、孫5人（30〜40代）,伝統と現代の融合を重視、家族との絆を大切にし、文化的な活動を楽しむ,朝は早起きして散歩を楽しみ、午前中は執筆や研究に没頭。午後は庭仕事や家族との時間を過ごす。,書道、茶道、将棋、古典文学の朗読会参加,日本文学の新しい視点を提供し、次世代に伝えること。孫たちと更多くの時間を共有すること。,品質重視で長持ちするものを選ぶ傾向がある。本や文化関連の商品をよく購入する。,新聞（朝日新聞）、専門誌、文学雑誌、インターネット（信頼できるサイト）,スマートフォン、タブレット、PC、電子書籍リーダー,Facebookで家族や友人との交流を楽しむ。Twitterでは文学に関する情報を共有する。,6:00 起床 → 7:00 散歩 → 8:00 朝食 → 9:00 研究・執筆 → 12:00 昼食 → 14:00 庭仕事・趣味 → 18:00 夕食 → 20:00 読書・テレビ視聴 → 22:00 就寝,高齢化による身体の変化、孫たちとの関係性の維持、執筆活動の継続性,健康的な生活を送るためのサポート、家族とのコミュニケーションツール、新しい文学的視点の提供,無印良品、HAKUHODO ARTPIARLS（文具）、岩波書店,NHK Eテレ『100分de名著』、Netflixでの古典作品の映画・ドラマ視聴,夫との絆が深く、家族と密接な関係を保っている。多くの文学界の人々とも交流がある。,孫の一人が結婚式を挙げたこと、新刊の出版が決定したこと
武藤 翔太郎,18,男性,東京都目黒区,賃貸マンション（1LDK）,学生・大学新入生,-,-,私立桜上高等学校卒業、国立東京大学文学部入学予定,両親と妹（12歳）の4人家族。父親は会社員、母親はパートタイムの保育士。,家族との時間や友情を大切にし、社会貢献も重要視している。将来的には教職に就きたいと考えている。,朝型生活で早寝早起き。週3回スポーツジムに通い、健康に気をつけている。土日は友人と外出したり、自宅で読書を楽しむことが多い。,音楽鑑賞（クラシックやJ-POP）、映画鑑賞（洋画・邦画の両方を好む）、料理（特に和食が得意）,大学生活を充実させ、将来的には教員免許を取りたい。社会貢献ができる活動にも積極的に参加したい。,必要なものだけを購入する傾向にある。品質と価格のバランスを重視し、 Reviews や評判も参考にする。,主にSNSやニュースサイトから情報を得る。YouTubeでの勉強動画や教育関連コンテンツも頻繁に閲覧している。,スマートフォン（iPhone）、タブレット（iPad）、ノートPC（Windows）,Instagram、Twitter、LINEを日常的に利用。主に友人とのコミュニケーションや情報を収集するのに使っている。,7:00 起床 → 8:00 朝食 → 9:00 大学へ向かう → 12:30 昼食 → 14:00 授業 → 16:00 学生会館で勉強やクラブ活動 → 19:00 運動ジム → 21:00 帰宅 → 22:00 晩御飯 → 23:00 就寝,大学生活での人間関係構築や、学業とクラブ活動の両立。将来的には教員になるための準備や資格取得。,効率的な勉強法や時間管理のスキルを身につけたい。友人との良好な関係を維持する方法も探している。,Uniqlo、Adidas、Apple,Netflix（ドラマやドキュメンタリー）、YouTube（教育チャンネル）,高校時代からの親友と仲が良く、新しい人との出会いを楽しんでいる。家族とも良好な関係を保っている。,大学の入学式に出席し、新しい環境に慣れるためのオリエンテーションを受けた。初めて一人で遠出した際、地元の名所を訪れて写真を撮った。
松田彩夏,19,女性,東京都世田谷区,家族と同居の4LDKアパート,フリーランス・イラストレーター,個人事業主,月収約30万円（案件による変動あり）,専門学校在学中（グラフィックデザイン学科2年生）,両親と長兄（社会人）の4人家族,自己表現とクリエイティブな生活を大切にする。家族との絆も重視する。,朝型で、早起きしてイラスト制作や学業に取り組む。夜はリラクゼーションタイムに充てる。,水彩画、読書（主にファンタジー小説）、カフェ巡り,専門学校卒業後もフリーランスとして活動し、商業作品で注目される存在になること。将来的には独立して自分のアトリエを持つ。,必要最小限の出費を心がけつつ、創作活動に必要な道具や書籍は惜しみなく購入する。,SNS（特にInstagram）、デザイン雑誌、専門学校の先輩からの情報,Windowsタブレット、スマートフォン（Android）,Instagram: イラスト作品の投稿とアイデア収集。Twitter: コミュニケーションや情報交換。,6:30 起床 > 7:00 朝食 > 8:00 専門学校に通うor自宅で制作 > 12:00 昼食 > 14:00 制作or授業 > 18:00 帰宅 > 19:00 夕食 > 20:30 SNSチェック・リラックスタイム > 23:00 就寝,案件が続くかどうか、収入の不安定さ。社会人として自立するためのスキル不足。,安定した仕事依頼と継続的な収入。ビジネスマナーなどの実践的な知識を身につけたい。,Fabercastell（絵具）、Copic（マーカー）,Netflixのファンタジー・アニメ作品、YouTubeのデザイン関連チャンネル,友人やSNSフォロワーとの交流が多い。親とは信頼関係を築いているが、将来的な独立について多少の不安も抱いている。,初めての商業イラスト依頼を受け、納品後大きな反響があった。専門学校で先輩とコラボレーションプロジェクトを行うことになった。
田中翔太,27,男性,東京都渋谷区,1LDKのマンション（持ち家）,ITエンジニア,"大手IT企業（従業員数：3,000人以上）",年収800万円,早稲田大学理工学部卒,両親と長女の3人家族。妹は大学生で、週末に会うことが多い。,自己成長を重視し、新しい技術やアイデアに常に興味を持つ。社会貢献も大切にしている。,平日は朝7時に起きて通勤し、夜8時頃に帰宅する。週末は家族と過ごしたり、趣味の時間を楽しむ。,プログラミング、読書（特にテクノロジー関連）、映画鑑賞,5年以内にプロダクトマネージャーになること。将来的には独立し、自身のスタートアップを立ち上げたい。,商品購入は比較的慎重で、レビューなどをよくチェックする。テクノロジー製品や書籍への出費が多い。,"ニュースアプリ（NHKニュース）、IT系メディア（TechCrunch, ITmedia）、専門書籍","iPhone 13 Pro, MacBook Air, iPad",Twitterで最新の技術情報やニュースをチェック。Instagramでは趣味の映画や本の写真を投稿する。,7:00 起床 → 8:00 朝食 + 通勤 → 9:30 仕事開始 → 12:30 昼休憩（ランチ + 散歩）→ 13:30 仕事再開 → 18:00 帰宅 → 19:30 夕食 + 読書 → 22:00 SNSチェック・リラックスタイム → 24:00 就寝,スキルアップのための時間管理、家族とのバランスの取り方、将来的なキャリアパス,仕事とプライベートの両立方法、新しい技術や市場トレンドの理解、ネットワークの拡大,"Apple, Amazon, Google","Netflix, YouTube, 映画館（特にSF映画）",会社では同僚と仲良く過ごしている。大学時代からの友人と月に1〜2回会う。,先週、会社で新しいプロジェクトのリーダーに任命された。来月には妹の誕生日パーティを計画中。
佐藤理美,28,女性,東京都目黒区,ワンルームマンション（借家）,Webデザイナー,中堅企業（100〜300人規模）,年収450万円,大学卒業（情報科学部）,独身、実家は群馬県にあり。両親と犬一匹で暮らしている。,仕事とプライベートのバランスを大切にする。自分の成長とスキルアップにも力を入れる。,早起きが得意で朝型生活。週末は趣味の時間や友人と過ごすことが多い。,イラスト制作、料理、旅行,将来的にはフリーランスとして独立することを目指している。,品質とデザイン性を重視する。オンラインショッピングが多いが、実店舗でも新しいものを探して楽しむ。,SNS（特にInstagram）、専門誌、ウェブサイト,"MacBook Pro, iPhone 13, iPad Air",Instagram: 仕事のポートフォリオを公開。Twitter: 情報収集と趣味の話題で使用。Facebook: 友人とのコミュニケーション。,6:00 起床、7:00 朝食と準備、8:30 出勤、12:00 昼休憩、18:00 退社、19:00 帰宅後軽い夕食、20:00 フリータイム（趣味や勉強）、23:00 就寝,仕事のストレス管理和職業的な成長への不安。一人暮らしでの生活費管理。,スキルアップのために新しい技術を学びたい。生活の質を高めるための商品やサービスを探している。,"Apple, Muji, Uniqlo",Netflix: 映画とドキュメンタリー、YouTube: デザイン関連チャンネル,親友数人と週に1度は会う。仕事では同僚とのコミュニケーションが良く、信頼関係を築いている。,先月、デザインコンペティションで優勝し、賞金を得た。来月には実家に戻って家族と過ごす予定。
佐藤隆史,35,男性,東京都港区,マンション（3LDK）,システムエンジニア,大企業 (1000人以上),年収 850万円,慶應義塾大学 理工学部 卒業,既婚、子供2人（長女7歳、次男4歳）,家族の時間を大切にし、仕事とプライベートのバランスを重視する。また、社会貢献も重要と考える。,平日は早朝から夜まで忙しく働くが、週末には家族と過ごす時間が確保できるよう心がけている。健康維持にも気を使っている。,ゴルフ、読書（主にビジネスや自己啓発系）、映画鑑賞,5年以内にチームリーダーに昇進すること、家族との海外旅行を実現すること,高品質な商品やサービスには価値を見出す。ただし、無駄遣いは避け、予算管理も重要と考える。,"ニュースサイト（CNN, NHK）、専門誌、SNS（LinkedIn）","iPhone 14 Pro, MacBook Air M2, Google Home Mini",週に数回、ビジネスに関する情報を投稿している。プライベートではInstagramを楽しみながら家族の写真も時々アップする。,6:00 起床 → 7:00 家族で朝食 → 8:00 出勤 → 19:00 帰宅 → 21:00 家族と夕食 → 23:00 就寝,仕事のストレス管理、子供の教育費や将来的な生活設計の不安,仕事と家庭の両立をさらに上手く実現する方法、家族の健康維持のためのアドバイス,"Apple, Uniqlo, MUJI",Netflix (主にドラマやドキュメンタリー)、YouTube (テクノロジー系チャンネル),同僚とは良好な関係を保っている。友人とは週末にゴルフのラウンドを楽しむことが多い。,先月、家族で箱根旅行に行った。息子が幼稚園の運動会で表彰され、とても喜んでいる。
佐藤千尋,37,女性,東京都世田谷区,マンション（2LDK）,Webデザイナー,中小企業 (50〜100人),年収700万円,私立大学情報学部卒業,独身、両親と妹（29歳）が地方に住んでいる,自己実現とバランスの取れた生活を大切にする。環境問題にも関心がある。,平日は仕事中心だが、週末は趣味や友人と過ごす時間を重視する。健康的な食生活を心がけている。,ヨガ、料理、映画鑑賞,3年以内に個人事業主として独立すること。より環境に配慮したライフスタイルを実現すること。,品質と価値を見極めて購入する。サステナブルな製品やローカルブランドを好む。,SNS、オンラインニュースサイト、書籍,"iPhone, MacBook Pro, iPad",Instagram (主にポートフォリオの展示)、Twitter (情報収集と交流),7:00 起床 → 8:00 朝食 & ヨガ → 9:30 出勤 → 18:30 帰宅 → 20:00 夕食 & 食器洗い → 21:30 映画鑑賞 or 読書 → 23:00 就寝,仕事のプレッシャー、キャリアアップへの不安、環境問題への影響,より効率的な時間管理方法、スキルアップのための学習リソース、サステナブルな生活を支援するツール,"無印良品, Everlane, Patagonia","Netflix (ドラマ『ストレンジャー・シングス』), YouTube (料理動画)、映画 (『アヴァター』)",友人とは週1回程度会う。仕事の同僚とは良好な関係を築いている。,先月、地元のコミュニティイベントで環境保護活動に参加した。来月には新たなプロジェクトがスタートする予定。
中村一朗,45,男性,東京都世田谷区,分譲マンション（3LDK）,システムエンジニア（部長クラス）,大企業（1000人以上）,年収1200万円,慶應義塾大学理工学部卒業,妻と中学生の息子1人、小学生の娘1人の4人家族,家族を大切にすること、仕事も大事だがプライベートも充実させることを重視する,早起きして朝ヨガをし、家族と一緒に朝食をとる。会社帰りはジムに寄る日が多い。週末は家族で外出したり、映画を見たりする,ジョギング、読書（ビジネス系、SF）、ギター演奏、旅行,子供たちが自立できるようサポートすること、50歳までには副業を始めて収入源の多様化を目指す,価格と品質を重視する。オンラインショッピングを活用しているが、店頭での体験も大切に考える,ニュースサイト、ビジネス系書籍、Podcast、専門家のブログ,"iPhone 13 Pro Max, MacBook Air, iPad Pro, Fitbit Charge 4",LinkedIn（仕事のつながり）、Twitter（趣味や情報収集）,6:00 起床 → 6:30 朝ヨガ → 7:00 朝食 → 8:00 出社 → 19:00 帰宅後ジム → 21:00 家族と夕食 → 22:00 読書・SNSチェック,子供たちの進学費用、自身の健康状態、会社でのキャリアアップ,子供たちの教育費の確保、仕事とプライベートのバランスの取り方、健康管理の方法,"Apple, Nike, Panasonic, Muji",Netflix（ドキュメンタリー）、Amazon Prime Video（映画）,家族とは仲が良く、友人や同僚とも定期的に交流している。近所の人々との関係も良好,先月は家族で北海道旅行に行き、自然を楽しんだ。来週は社内のプロジェクトリーダーとして新しい案件の立ち上げに臨む予定
